REGISTRADOR,COMPONENTE
AZUL,CEU
CASA,LAR
BOLA,FUTEBOL
PATO,LAGOA
LIVRO,LER
AMOR,SENTIMENTO
SOL,VERAO
LUA,NOITE
VENTO,AR
CHUVA,AGUA
FLOR,JARDIM
ARTE,QUADRO
COR,TINTA
RIO,PEIXE
MAR,ONDA
TERRA,PLANETA
FOGO,CALOR
IDEIA,CRIATIVIDADE
SONHO,DORMIR
TEMPO,HORA
VIDA,FELICIDADE
PAZ,HARMONIA
LUZ,BRILHO
SOM,MÚSICA
GATO,MIAU
CÃO,LATE
PEIXE,NADAR
ÁRVORE,FRUTAS
FRUTA,DOCE
PÃO,PADARIA
CAFÉ,MANHÃ
CHÁ,QUENTE
LEITE,VACA
DOCE,BOLO
SAL,TEMPERO
CARRO,ESTRADA
MOTO,VELOCIDADE
TREM,VIAGEM
AVIÃO,VOAR
NAVIO,PORTO
BARCO,REMAR
RÁDIO,OUVIR
FOTO,LEMBRANÇA
FILME,CINEMA
MÚSICA,NOTA
DANÇA,RITMO
TEATRO,ATORES
CIRCO,ESPETÁCULO
JOGO,DIVERSÃO
BRINCO,ORELHA
ANEL,DEDO
COLAR,PESCOÇO
ROUPA,VESTIR
SAPATO,PÉ
BOLSA,GUARDAR
CADEIRA,SENTAR
MESA,COMER
CAMA,DORMIR
SOFÁ,RELAXAR
PORTA,ENTRADA
MURO,PROTEÇÃO
TELHA,COBERTURA
TETO,ACIMA
CHÃO,EMBAIXO
NUVEM,ALTO
CÉU,AZUL
ESTRELA,BRILHAR
PLANETA,ÓRBITA
MUNDO,GLOBAL
BEIJO,CARINHO
ABRAÇO,AQUECER
SORRISO,ALEGRIA
OLHAR,VER
VOZ,FALAR
CANTO,MÚSICA
PASSO,CAMINHAR
CORPO,HUMANO
ALMA,ESPÍRITO
MENTE,PENSAR
FORÇA,MUSCULO
FÉ,ACREDITAR
ESPERANÇA,FUTURO
SABER,APRENDER
PODER,AUTORIDADE
QUERER,DESEJAR
DEVER,OBRIGAÇÃO
FAZER,AÇÃO
DIZER,PALAVRA
IR,MOVER
VIR,CHEGAR
TER,POSSUIR
SER,EXISTIR
ESTAR,LOCALIZAR
DAR,OFERECER
VER,ENXERGAR
OUVIR,ESCUTAR
FALAR,COMUNICAR
PENSAR,RACIOCINAR
SENTIR,EMOÇÃO
AMIGO,COMPANHEIRO
IRMÃO,FAMÍLIA
PAI,GENITOR
MÃE,GENITORA
FILHO,PROLE
CHEFE,LIDER
ALUNO,APRENDIZ
MESTRE,PROFESSOR
DOUTOR,MÉDICO
JUIZ,LEI
POLÍCIA,SEGURANÇA
BOM,POSITIVO
MAU,NEGATIVO
GRANDE,ENORME
PEQUENO,MIÚDO
NOVO,INÉDITO
VELHO,ANTIGO
FORTE,RESISTENTE
FRACO,DELICADO
FOGAO,COZINHA
PINCEL,PINTURA
TECLADO,COMPUTADOR
TORRE,EDIFÍCIO
CAMPO,NATUREZA
LAGARTO,REPTIL
BRISA,SUAVIDADE
ESTUFA,PLANTAS
PAPEL,ESCRITA
