PALAVRA,CONTEXTO
COMPUTADORES,TECNOLOGIA
TELECOMUNICACOES,CONEXAO
DESENVOLVIMENTO,EVOLUCAO
INFRAESTRUTURA,SUSTENTACAO
ORGANIZACOES,EMPRESARIAL
PROCEDIMENTOS,SISTEMATICO
PLANEJAMENTO,ESTRATEGICO
GERENCIAMENTO,ADMINISTRACAO
COORDENACAO,INTEGRACAO
COMUNIDADES,CONVIVENCIA
PARTICIPACOES,ENGAJAMENTO
RESPONSABILIDADE,COMPROMISSO
SUSTENTABILIDADE,ECOLOGICO
CONSCIENTIZACAO,INFORMATIVO
DESENVOLVIMENTO,HUMANITARIO
OPORTUNIDADES,FAVORECIMENTO
ALTERNATIVAS,OPCOES
INVESTIMENTOS,FINANCEIRO
RESULTADOS,CONSEQUENCIA
SATISFACAO,CONTENTAMENTO
COLABORADORES,PROFISSIONAL
CONHECIMENTOS,SABEDORIA
HABILIDADES,COMPETENCIA
ATITUDES,COMPORTAMENTO
PERSPECTIVAS,VISAO
EXPERIENCIAS,VIVENCIA
AVALIACOES,VERIFICACAO
MELHORAMENTOS,OTIMIZACAO
INOVACOES,NOVIDADE
TECNOLOGIAS,MODERNIDADE
COMUNICACAO,INTERACAO
INFORMACOES,DADOS
SEGURANCA,PROTECAO
QUALIDADE,EXCELENCIA
EFICIENCIA,PRODUTIVIDADE
EFICACIA,RESULTADO
MOTIVACAO,ESTIMULO
LIDERANCA,CONDUCAO
ESTRATÉGIAS,PLANEJAMENTO
SOLUCOES,RESOLUCAO
PROBLEMAS,DIFICULDADE
DECISOES,ESCOLHA
AVANCADOS,SOFISTICADO
FUNDAMENTAIS,ESSENCIAL
IMPORTANTES,RELEVANTE
NECESSARIOS,IMPRESCINDIVEL
POSSIBILIDADES,VIABILIDADE
DESAFIOS,OBSTACULO
CONQUISTAS,VITORIA
